upstream_station_id,downstream_station_id,buffer_capacity,transit_time_sec
ST01,ST02,10,6.0
ST02,ST03,10,6.0
ST03,ST04,10,6.0
ST04,ST05,10,6.0
ST05,ST06,10,6.0
ST06,B01,10,6.0
B01,B02,10,6.0
B02,B03,10,6.0
B03,B04,10,6.0
B04,B05,10,6.0
B05,B06,10,6.0
B06,B07,10,6.0
B07,B08,10,6.0
B08,B09,10,6.0
B09,B10,10,6.0
B10,B11,10,6.0
B11,B12,10,6.0
B12,P01,10,6.0
P01,P02,10,6.0
P02,P03,10,6.0
P03,P04,10,6.0
P04,P05,10,6.0
P05,P06,10,6.0
P06,P07,10,6.0
P07,P08,10,6.0
P08,P09,10,6.0
P09,P10,10,6.0
BAT01,BAT02,12,6.0
BAT02,BAT03,12,6.0
BAT03,BAT04,12,6.0
BAT04,BAT05,12,6.0
BAT05,BAT06,12,6.0
BAT06,BAT07,12,6.0
BAT07,BAT08,12,6.0
PT01,PT02,12,6.0
PT02,PT03,12,6.0
PT03,PT04,12,6.0
P10,GA01,10,6.0
GA01,GA02,10,6.0
GA02,GA03,10,6.0
GA03,GA04,10,6.0
GA04,GA05,10,6.0
GA05,GA06,10,6.0
GA06,GA07,10,6.0
GA07,GA08,10,6.0
GA08,GA09,10,6.0
GA09,GA10,10,6.0
BAT08,GA10,10,6.0
GA10,GA11,10,6.0
PT04,GA11,10,6.0
GA11,GA12,10,6.0
GA12,GA13,10,6.0
GA13,GA14,10,6.0
GA14,EOL01,10,6.0
EOL01,EOL02,10,6.0
EOL02,EOL03,10,6.0
EOL03,EOL04,10,6.0
EOL04,EOL05,10,6.0
EOL05,EOL06,10,6.0
EOL06,EOL07,10,6.0
