run_id,event_id,event_type,origin_station_id,peak_minute,start_minute,resolved_minute,severity,propagation_path
RUN-PB-001,RUNPB001-EVT01,defect_propagation,B07,98,78,123,high,"B07,B08,B09,B10,B11"
RUN-PB-001,RUNPB001-EVT02,bottleneck,ST02,191,169,211,critical,"ST02,ST03,ST04,ST05"
RUN-PB-002,RUNPB002-EVT01,defect_propagation,BAT05,104,84,129,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-002,RUNPB002-EVT02,bottleneck,GA10,161,139,181,critical,"GA10,GA11,GA12,GA13"
RUN-PB-003,RUNPB003-EVT01,defect_propagation,B07,109,89,134,high,"B07,B08,B09,B10,B11"
RUN-PB-003,RUNPB003-EVT02,bottleneck,ST02,186,164,206,critical,"ST02,ST03,ST04,ST05"
RUN-PB-004,RUNPB004-EVT01,defect_propagation,BAT05,74,54,99,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-004,RUNPB004-EVT02,bottleneck,GA10,169,147,189,critical,"GA10,GA11,GA12,GA13"
RUN-PB-005,RUNPB005-EVT01,defect_propagation,B07,97,77,122,high,"B07,B08,B09,B10,B11"
RUN-PB-005,RUNPB005-EVT02,bottleneck,ST02,198,176,218,critical,"ST02,ST03,ST04,ST05"
RUN-PB-006,RUNPB006-EVT01,defect_propagation,BAT05,63,43,88,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-006,RUNPB006-EVT02,bottleneck,GA10,196,174,216,critical,"GA10,GA11,GA12,GA13"
RUN-PB-007,RUNPB007-EVT01,defect_propagation,B07,65,45,90,high,"B07,B08,B09,B10,B11"
RUN-PB-007,RUNPB007-EVT02,bottleneck,ST02,175,153,195,critical,"ST02,ST03,ST04,ST05"
RUN-PB-008,RUNPB008-EVT01,defect_propagation,BAT05,88,68,113,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-008,RUNPB008-EVT02,bottleneck,GA10,196,174,216,critical,"GA10,GA11,GA12,GA13"
RUN-PB-009,RUNPB009-EVT01,defect_propagation,B07,103,83,128,high,"B07,B08,B09,B10,B11"
RUN-PB-009,RUNPB009-EVT02,bottleneck,ST02,152,130,172,critical,"ST02,ST03,ST04,ST05"
RUN-PB-010,RUNPB010-EVT01,defect_propagation,BAT05,81,61,106,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-010,RUNPB010-EVT02,bottleneck,GA10,181,159,201,critical,"GA10,GA11,GA12,GA13"
RUN-PB-011,RUNPB011-EVT01,defect_propagation,B07,92,72,117,high,"B07,B08,B09,B10,B11"
RUN-PB-011,RUNPB011-EVT02,bottleneck,ST02,142,120,162,critical,"ST02,ST03,ST04,ST05"
RUN-PB-012,RUNPB012-EVT01,defect_propagation,BAT05,78,58,103,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-012,RUNPB012-EVT02,bottleneck,GA10,187,165,207,critical,"GA10,GA11,GA12,GA13"
RUN-PB-013,RUNPB013-EVT01,defect_propagation,B07,105,85,130,high,"B07,B08,B09,B10,B11"
RUN-PB-013,RUNPB013-EVT02,bottleneck,ST02,146,124,166,critical,"ST02,ST03,ST04,ST05"
RUN-PB-014,RUNPB014-EVT01,defect_propagation,BAT05,72,52,97,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-014,RUNPB014-EVT02,bottleneck,GA10,186,164,206,critical,"GA10,GA11,GA12,GA13"
RUN-PB-015,RUNPB015-EVT01,defect_propagation,B07,106,86,131,high,"B07,B08,B09,B10,B11"
RUN-PB-015,RUNPB015-EVT02,bottleneck,ST02,191,169,211,critical,"ST02,ST03,ST04,ST05"
RUN-PB-016,RUNPB016-EVT01,defect_propagation,BAT05,79,59,104,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-016,RUNPB016-EVT02,bottleneck,GA10,173,151,193,critical,"GA10,GA11,GA12,GA13"
RUN-PB-017,RUNPB017-EVT01,defect_propagation,B07,90,70,115,high,"B07,B08,B09,B10,B11"
RUN-PB-017,RUNPB017-EVT02,bottleneck,ST02,146,124,166,critical,"ST02,ST03,ST04,ST05"
RUN-PB-018,RUNPB018-EVT01,defect_propagation,BAT05,99,79,124,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-018,RUNPB018-EVT02,bottleneck,GA10,160,138,180,critical,"GA10,GA11,GA12,GA13"
RUN-PB-019,RUNPB019-EVT01,defect_propagation,B07,76,56,101,high,"B07,B08,B09,B10,B11"
RUN-PB-019,RUNPB019-EVT02,bottleneck,ST02,145,123,165,critical,"ST02,ST03,ST04,ST05"
RUN-PB-020,RUNPB020-EVT01,defect_propagation,BAT05,81,61,106,high,"BAT05,BAT06,BAT07,BAT08,GA10"
RUN-PB-020,RUNPB020-EVT02,bottleneck,GA10,155,133,175,critical,"GA10,GA11,GA12,GA13"
