run_id,minute_index,station_id,cycle_time_sec,queue_length,vibration_mm_s,torque_nm,temperature_c
RUN-PB-001,0,ST01,34.33,0,0.766,148.95,42.61
RUN-PB-001,0,ST02,37.72,0,0.777,143.57,41.26
RUN-PB-001,0,ST03,38.43,0,0.798,142.47,42.25
RUN-PB-001,0,ST04,35.46,2,0.679,,
RUN-PB-001,0,ST05,42.07,0,0.724,143.5,41.77
RUN-PB-001,0,ST06,44.64,0,,,
RUN-PB-001,0,B01,41.86,1,0.769,151.95,42.95
RUN-PB-001,0,B02,44.13,1,0.794,142.48,40.73
RUN-PB-001,0,B03,39.46,1,0.723,142.17,42.11
RUN-PB-001,0,B04,41.35,2,0.794,142.9,41.75
RUN-PB-001,0,B05,43.2,1,0.799,142.23,41.04
RUN-PB-001,0,B06,43.49,2,0.818,147.43,42.64
RUN-PB-001,0,B07,46.9,1,0.767,144.0,41.95
RUN-PB-001,0,B08,37.15,2,0.802,148.69,41.59
RUN-PB-001,0,B09,41.51,5,,145.24,
RUN-PB-001,0,B10,39.58,0,,148.18,
RUN-PB-001,0,B11,46.41,0,0.767,144.14,41.36
RUN-PB-001,0,B12,49.9,0,,,
RUN-PB-001,0,P01,47.36,0,,,43.97
RUN-PB-001,0,P02,54.88,0,0.765,145.85,41.99
RUN-PB-001,0,P03,58.46,1,0.693,143.0,43.11
RUN-PB-001,0,P04,44.84,1,0.82,143.77,42.74
RUN-PB-001,0,P05,43.02,0,0.794,141.12,42.05
RUN-PB-001,0,P06,39.36,1,,,41.74
RUN-PB-001,0,P07,45.49,2,0.688,144.19,41.84
RUN-PB-001,0,P08,45.14,1,0.81,146.54,42.97
RUN-PB-001,0,P09,60.14,0,0.792,145.73,41.43
RUN-PB-001,0,P10,53.12,0,,,
RUN-PB-001,0,BAT01,36.7,3,0.709,144.39,41.4
RUN-PB-001,0,BAT02,39.47,3,0.709,145.03,43.16
RUN-PB-001,0,BAT03,37.84,0,0.886,142.59,42.78
RUN-PB-001,0,BAT04,46.03,0,,,
RUN-PB-001,0,BAT05,44.28,2,0.746,147.61,41.73
RUN-PB-001,0,BAT06,49.44,3,0.724,145.58,41.35
RUN-PB-001,0,BAT07,42.63,3,0.753,147.26,41.52
RUN-PB-001,0,BAT08,54.18,2,0.763,146.43,42.91
RUN-PB-001,0,PT01,45.57,1,0.783,143.07,41.81
RUN-PB-001,0,PT02,47.71,1,0.754,146.72,40.71
RUN-PB-001,0,PT03,43.72,0,,148.9,
RUN-PB-001,0,PT04,40.33,0,0.686,145.11,41.48
RUN-PB-001,0,GA01,43.29,3,,143.35,
RUN-PB-001,0,GA02,43.52,0,0.744,143.07,43.33
RUN-PB-001,0,GA03,49.8,0,,,
RUN-PB-001,0,GA04,41.24,3,,141.2,
RUN-PB-001,0,GA05,39.76,0,0.715,144.41,43.5
RUN-PB-001,0,GA06,44.99,0,,,
RUN-PB-001,0,GA07,44.93,0,,,
RUN-PB-001,0,GA08,41.7,1,,145.5,
RUN-PB-001,0,GA09,46.04,0,,,
RUN-PB-001,0,GA10,48.41,3,0.754,143.78,42.17
RUN-PB-001,0,GA11,50.53,0,0.727,143.53,42.68
RUN-PB-001,0,GA12,45.21,4,0.715,146.38,41.43
RUN-PB-001,0,GA13,36.93,1,0.689,148.88,41.65
RUN-PB-001,0,GA14,41.76,3,0.763,144.4,42.68
RUN-PB-001,0,EOL01,45.84,4,,,41.03
RUN-PB-001,0,EOL02,44.69,2,0.79,143.25,41.99
RUN-PB-001,0,EOL03,50.75,2,0.839,146.03,41.55
RUN-PB-001,0,EOL04,54.51,0,0.762,143.92,42.16
RUN-PB-001,0,EOL05,48.34,0,,,40.87
RUN-PB-001,0,EOL06,44.57,2,0.739,144.24,42.0
RUN-PB-001,0,EOL07,59.59,0,,,
RUN-PB-001,1,ST01,35.31,2,0.827,144.14,42.37
RUN-PB-001,1,ST02,38.04,1,0.799,146.18,42.04
RUN-PB-001,1,ST03,41.37,2,0.77,147.18,42.15
RUN-PB-001,1,ST04,37.31,0,0.71,,
RUN-PB-001,1,ST05,42.62,0,0.659,145.85,43.5
RUN-PB-001,1,ST06,45.57,0,,,
RUN-PB-001,1,B01,42.71,1,0.727,140.72,43.08
RUN-PB-001,1,B02,43.93,1,0.812,145.01,42.04
RUN-PB-001,1,B03,38.73,1,0.781,145.3,42.41
RUN-PB-001,1,B04,41.43,1,0.694,145.83,41.4
RUN-PB-001,1,B05,43.93,2,0.756,147.57,42.13
RUN-PB-001,1,B06,42.39,0,0.737,146.61,43.09
RUN-PB-001,1,B07,45.42,0,0.784,140.67,43.16
RUN-PB-001,1,B08,38.53,1,0.743,143.78,43.07
RUN-PB-001,1,B09,42.59,1,,144.96,
RUN-PB-001,1,B10,39.83,2,,141.74,
RUN-PB-001,1,B11,48.22,0,0.703,146.87,41.77
RUN-PB-001,1,B12,51.23,0,,,
RUN-PB-001,1,P01,47.94,0,,,40.17
RUN-PB-001,1,P02,54.94,2,0.752,144.72,41.82
RUN-PB-001,1,P03,58.37,0,0.788,143.63,41.02
RUN-PB-001,1,P04,45.42,1,0.734,147.13,41.21
RUN-PB-001,1,P05,42.02,1,0.798,148.81,40.03
RUN-PB-001,1,P06,39.51,1,,,41.48
RUN-PB-001,1,P07,44.54,3,0.732,142.82,42.0
RUN-PB-001,1,P08,47.42,2,0.801,142.81,40.89
RUN-PB-001,1,P09,60.56,2,0.845,144.1,41.81
RUN-PB-001,1,P10,51.73,0,,,
RUN-PB-001,1,BAT01,36.03,2,0.708,145.98,41.93
RUN-PB-001,1,BAT02,40.14,0,0.764,146.25,41.22
RUN-PB-001,1,BAT03,38.06,1,0.788,143.34,42.46
RUN-PB-001,1,BAT04,45.54,0,,,
RUN-PB-001,1,BAT05,44.38,0,0.667,151.96,40.71
RUN-PB-001,1,BAT06,49.91,0,0.73,147.52,41.54
RUN-PB-001,1,BAT07,42.5,2,0.694,140.57,41.17
RUN-PB-001,1,BAT08,54.1,0,0.754,145.22,41.88
RUN-PB-001,1,PT01,45.7,0,0.763,143.51,42.47
RUN-PB-001,1,PT02,47.81,2,0.734,147.18,41.74
RUN-PB-001,1,PT03,44.72,1,,140.32,
RUN-PB-001,1,PT04,40.01,0,0.834,144.4,42.66
RUN-PB-001,1,GA01,42.54,1,,145.41,
RUN-PB-001,1,GA02,43.48,2,0.73,145.45,42.2
RUN-PB-001,1,GA03,49.72,0,,,
RUN-PB-001,1,GA04,41.79,1,,148.22,
RUN-PB-001,1,GA05,38.74,3,0.722,140.92,42.22
RUN-PB-001,1,GA06,44.36,0,,,
RUN-PB-001,1,GA07,44.17,0,,,
RUN-PB-001,1,GA08,41.13,0,,149.71,
RUN-PB-001,1,GA09,46.96,0,,,
RUN-PB-001,1,GA10,46.98,0,0.826,147.68,41.53
RUN-PB-001,1,GA11,50.51,2,0.634,144.16,43.34
RUN-PB-001,1,GA12,44.84,0,0.675,144.98,40.94
RUN-PB-001,1,GA13,38.48,1,0.742,142.46,42.41
RUN-PB-001,1,GA14,41.52,2,0.742,145.03,41.98
RUN-PB-001,1,EOL01,46.12,0,,,41.11
RUN-PB-001,1,EOL02,44.83,1,0.617,142.06,42.16
RUN-PB-001,1,EOL03,52.17,2,0.737,142.22,43.4
RUN-PB-001,1,EOL04,55.56,0,0.814,143.24,41.42
RUN-PB-001,1,EOL05,48.06,0,,,42.57
RUN-PB-001,1,EOL06,44.86,3,0.731,142.3,42.49
RUN-PB-001,1,EOL07,60.36,0,,,
RUN-PB-001,2,ST01,34.26,1,0.709,146.89,40.87
RUN-PB-001,2,ST02,38.75,1,0.642,147.43,41.98
RUN-PB-001,2,ST03,39.8,0,0.817,145.77,40.63
RUN-PB-001,2,ST04,35.19,0,0.787,,
RUN-PB-001,2,ST05,41.02,2,0.778,145.64,42.79
RUN-PB-001,2,ST06,46.0,0,,,
RUN-PB-001,2,B01,42.23,0,0.632,146.29,41.42
RUN-PB-001,2,B02,44.11,0,0.712,141.19,41.36
RUN-PB-001,2,B03,39.8,0,0.706,142.63,44.11
RUN-PB-001,2,B04,41.3,1,0.759,143.56,42.1
RUN-PB-001,2,B05,44.54,1,0.745,144.91,43.42
RUN-PB-001,2,B06,42.62,0,0.841,146.25,42.43
RUN-PB-001,2,B07,45.35,1,0.796,141.7,41.82
RUN-PB-001,2,B08,38.64,3,0.756,143.87,42.51
RUN-PB-001,2,B09,41.08,2,,146.07,
RUN-PB-001,2,B10,40.16,1,,142.3,
RUN-PB-001,2,B11,47.98,2,0.784,141.49,42.4
RUN-PB-001,2,B12,49.37,0,,,
RUN-PB-001,2,P01,47.61,3,,,42.04
RUN-PB-001,2,P02,55.73,1,0.716,147.3,42.25
RUN-PB-001,2,P03,56.99,1,0.662,144.25,41.36
RUN-PB-001,2,P04,43.4,0,0.697,144.91,42.19
RUN-PB-001,2,P05,42.93,0,0.7,144.59,41.34
RUN-PB-001,2,P06,41.39,0,,,42.39
RUN-PB-001,2,P07,45.17,0,0.873,143.71,41.52
RUN-PB-001,2,P08,46.33,1,0.719,144.07,41.06
