run_id,shift_start,n_events,event_types_present,had_scheduled_maintenance,n_vehicles
RUN-001,2026-08-01 06:00:00,2,bottleneck;defect_propagation,False,180
RUN-002,2026-08-02 06:00:00,2,defect_propagation;machine_failure,False,180
RUN-003,2026-08-03 06:00:00,1,defect_propagation,False,180
RUN-004,2026-08-04 06:00:00,0,,True,180
RUN-005,2026-08-05 06:00:00,1,defect_propagation,False,180
RUN-006,2026-08-06 06:00:00,1,defect_propagation,False,180
RUN-007,2026-08-07 06:00:00,1,defect_propagation,True,180
RUN-008,2026-08-08 06:00:00,1,defect_propagation,True,180
RUN-009,2026-08-09 06:00:00,1,defect_propagation,False,180
RUN-010,2026-08-10 06:00:00,1,defect_propagation,False,180
RUN-011,2026-08-11 06:00:00,1,defect_propagation,False,180
RUN-012,2026-08-12 06:00:00,0,,False,180
RUN-013,2026-08-13 06:00:00,2,defect_propagation;sensorless_drift,False,180
RUN-014,2026-08-14 06:00:00,2,defect_propagation,False,180
RUN-015,2026-08-15 06:00:00,1,defect_propagation,False,180
RUN-016,2026-08-16 06:00:00,1,defect_propagation,False,180
RUN-017,2026-08-17 06:00:00,4,bottleneck;defect_propagation;machine_failure,False,180
RUN-018,2026-08-18 06:00:00,2,defect_propagation,False,180
RUN-019,2026-08-19 06:00:00,0,,False,180
RUN-020,2026-08-20 06:00:00,2,defect_propagation;sensorless_drift,False,180
RUN-021,2026-08-21 06:00:00,2,defect_propagation,False,180
RUN-022,2026-08-22 06:00:00,1,defect_propagation,False,180
RUN-023,2026-08-23 06:00:00,1,defect_propagation,False,180
RUN-024,2026-08-24 06:00:00,1,defect_propagation,False,180
RUN-025,2026-08-25 06:00:00,3,bottleneck;defect_propagation;machine_failure,False,180
