run_id,timestamp,minute_index,station_id,cycle_time_sec,torque_nm,vibration_mm_s,temperature_c,queue_length,status_flag,active_event_ids
RUN-001,2026-08-01 06:00:00,0,S01,44.65,44.53,1.345,,1.0,normal,
RUN-001,2026-08-01 06:01:00,1,S01,43.13,41.59,1.224,,1.0,normal,
RUN-001,2026-08-01 06:02:00,2,S01,41.98,41.37,1.403,,0.0,normal,
RUN-001,2026-08-01 06:03:00,3,S01,45.87,42.14,1.227,,0.0,normal,
RUN-001,2026-08-01 06:04:00,4,S01,41.26,44.74,1.269,,3.0,normal,
RUN-001,2026-08-01 06:05:00,5,S01,44.83,41.23,1.249,,0.0,normal,
RUN-001,2026-08-01 06:06:00,6,S01,45.38,38.67,1.293,,1.0,normal,
RUN-001,2026-08-01 06:07:00,7,S01,43.35,42.17,1.361,,1.0,normal,
RUN-001,2026-08-01 06:08:00,8,S01,45.42,40.28,1.417,,3.0,normal,
RUN-001,2026-08-01 06:09:00,9,S01,43.73,42.04,1.35,,2.0,normal,
RUN-001,2026-08-01 06:10:00,10,S01,42.88,42.07,1.213,,2.0,normal,
RUN-001,2026-08-01 06:11:00,11,S01,44.05,43.16,1.298,,2.0,normal,
RUN-001,2026-08-01 06:12:00,12,S01,44.8,40.49,1.213,,2.0,normal,
RUN-001,2026-08-01 06:13:00,13,S01,41.62,41.89,1.304,,1.0,normal,
RUN-001,2026-08-01 06:14:00,14,S01,42.44,40.16,1.31,,1.0,normal,
RUN-001,2026-08-01 06:15:00,15,S01,44.83,41.81,1.344,,0.0,normal,
RUN-001,2026-08-01 06:16:00,16,S01,40.69,41.88,1.231,,0.0,normal,
RUN-001,2026-08-01 06:17:00,17,S01,43.59,40.75,1.333,,1.0,normal,
RUN-001,2026-08-01 06:18:00,18,S01,44.36,42.72,1.373,,1.0,normal,
RUN-001,2026-08-01 06:19:00,19,S01,45.22,42.25,1.209,,6.0,normal,
RUN-001,2026-08-01 06:20:00,20,S01,43.87,43.13,1.34,,0.0,normal,
RUN-001,2026-08-01 06:21:00,21,S01,43.39,43.19,1.293,,0.0,normal,
RUN-001,2026-08-01 06:22:00,22,S01,41.5,39.67,1.396,,4.0,normal,
RUN-001,2026-08-01 06:23:00,23,S01,45.5,41.07,1.271,,1.0,normal,
RUN-001,2026-08-01 06:24:00,24,S01,42.74,40.85,1.221,,0.0,normal,
RUN-001,2026-08-01 06:25:00,25,S01,44.05,42.29,1.361,,3.0,normal,
RUN-001,2026-08-01 06:26:00,26,S01,45.35,42.11,1.335,,0.0,normal,
RUN-001,2026-08-01 06:27:00,27,S01,44.97,41.21,1.26,,0.0,normal,
RUN-001,2026-08-01 06:28:00,28,S01,44.1,40.28,1.256,,4.0,normal,
RUN-001,2026-08-01 06:29:00,29,S01,42.95,39.96,1.225,,2.0,normal,
RUN-001,2026-08-01 06:30:00,30,S01,45.68,40.79,1.341,,1.0,normal,
RUN-001,2026-08-01 06:31:00,31,S01,40.5,42.35,1.347,,2.0,normal,
RUN-001,2026-08-01 06:32:00,32,S01,41.42,40.16,1.382,,3.0,normal,
RUN-001,2026-08-01 06:33:00,33,S01,45.53,40.71,1.257,,0.0,normal,
RUN-001,2026-08-01 06:34:00,34,S01,42.71,39.8,1.257,,3.0,normal,
RUN-001,2026-08-01 06:35:00,35,S01,43.97,39.95,1.258,,3.0,normal,
RUN-001,2026-08-01 06:36:00,36,S01,41.81,37.67,1.29,,1.0,normal,
RUN-001,2026-08-01 06:37:00,37,S01,42.68,41.41,1.307,,6.0,normal,
RUN-001,2026-08-01 06:38:00,38,S01,44.24,43.15,1.203,,2.0,normal,
RUN-001,2026-08-01 06:39:00,39,S01,42.73,40.68,1.291,,2.0,normal,
RUN-001,2026-08-01 06:40:00,40,S01,42.26,40.17,1.299,,1.0,normal,
RUN-001,2026-08-01 06:41:00,41,S01,46.09,39.58,1.28,,0.0,normal,
RUN-001,2026-08-01 06:42:00,42,S01,43.32,40.74,1.374,,2.0,normal,
RUN-001,2026-08-01 06:43:00,43,S01,44.12,42.61,1.351,,4.0,normal,
RUN-001,2026-08-01 06:44:00,44,S01,42.32,41.15,1.302,,0.0,normal,
RUN-001,2026-08-01 06:45:00,45,S01,44.09,39.15,1.342,,2.0,normal,
RUN-001,2026-08-01 06:46:00,46,S01,44.88,42.16,1.315,,1.0,normal,
RUN-001,2026-08-01 06:47:00,47,S01,43.93,40.07,1.334,,1.0,normal,
RUN-001,2026-08-01 06:48:00,48,S01,45.03,38.34,1.354,,0.0,normal,
RUN-001,2026-08-01 06:49:00,49,S01,44.01,44.61,1.378,,2.0,normal,
RUN-001,2026-08-01 06:50:00,50,S01,44.3,41.19,1.223,,1.0,normal,
RUN-001,2026-08-01 06:51:00,51,S01,45.0,39.82,1.253,,1.0,normal,
RUN-001,2026-08-01 06:52:00,52,S01,41.99,41.15,1.315,,0.0,normal,
RUN-001,2026-08-01 06:53:00,53,S01,44.83,39.62,1.316,,1.0,normal,
RUN-001,2026-08-01 06:54:00,54,S01,46.58,39.48,1.26,,1.0,normal,
RUN-001,2026-08-01 06:55:00,55,S01,43.41,40.02,1.207,,4.0,normal,
RUN-001,2026-08-01 06:56:00,56,S01,42.46,42.68,1.357,,1.0,normal,
RUN-001,2026-08-01 06:57:00,57,S01,46.04,41.85,1.353,,3.0,normal,
RUN-001,2026-08-01 06:58:00,58,S01,44.95,37.25,1.365,,5.0,normal,
RUN-001,2026-08-01 06:59:00,59,S01,45.64,41.63,1.194,,1.0,normal,
RUN-001,2026-08-01 07:00:00,60,S01,41.71,41.42,1.407,,2.0,normal,
RUN-001,2026-08-01 07:01:00,61,S01,44.46,40.34,1.252,,0.0,normal,
RUN-001,2026-08-01 07:02:00,62,S01,42.57,39.13,1.367,,0.0,normal,
RUN-001,2026-08-01 07:03:00,63,S01,45.04,41.88,1.349,,1.0,normal,
RUN-001,2026-08-01 07:04:00,64,S01,44.3,41.36,1.381,,1.0,normal,
RUN-001,2026-08-01 07:05:00,65,S01,44.36,38.8,1.25,,1.0,normal,
RUN-001,2026-08-01 07:06:00,66,S01,42.47,40.01,1.148,,2.0,normal,
RUN-001,2026-08-01 07:07:00,67,S01,42.49,37.97,1.31,,1.0,normal,
RUN-001,2026-08-01 07:08:00,68,S01,43.73,44.44,1.265,,0.0,normal,
RUN-001,2026-08-01 07:09:00,69,S01,45.72,40.67,1.201,,3.0,normal,
RUN-001,2026-08-01 07:10:00,70,S01,43.67,40.74,1.403,,0.0,normal,
RUN-001,2026-08-01 07:11:00,71,S01,43.37,37.96,1.308,,2.0,normal,
RUN-001,2026-08-01 07:12:00,72,S01,43.53,37.98,1.353,,1.0,normal,
RUN-001,2026-08-01 07:13:00,73,S01,43.99,38.42,1.291,,3.0,normal,
RUN-001,2026-08-01 07:14:00,74,S01,41.07,42.15,1.311,,0.0,normal,
RUN-001,2026-08-01 07:15:00,75,S01,42.47,42.78,1.39,,2.0,normal,
RUN-001,2026-08-01 07:16:00,76,S01,42.14,42.49,1.41,,2.0,normal,
